,precision,recall,f1-score,support
0,0.3954802259887006,0.5737704918032787,0.46822742474916385,122.0
1,0.3958333333333333,0.20212765957446807,0.2676056338028169,94.0
2,0.3804347826086957,0.7,0.4929577464788733,100.0
3,0.85,0.1504424778761062,0.2556390977443609,113.0
4,0.375,0.375,0.375,48.0
accuracy,0.40670859538784065,0.40670859538784065,0.40670859538784065,0.40670859538784065
macro avg,0.4793496683861459,0.4002681258507706,0.371885980555043,477.0
weighted avg,0.4980092225677659,0.40670859538784065,0.37413347607937714,477.0
