,precision,recall,f1-score,support
M.Beer,1.0,1.0,1.0,213.0
MD.Diet,0.9956896551724138,1.0,0.9978401727861772,231.0
MD.Orig,1.0,0.9955357142857143,0.9977628635346756,224.0
P.Cherry,1.0,0.9786096256684492,0.9891891891891893,187.0
P.Orig,1.0,0.9894736842105263,0.9947089947089947,190.0
P.Rsugar,0.9847715736040609,0.9897959183673469,0.9872773536895675,196.0
P.Zero,0.9752475247524752,0.9949494949494949,0.985,198.0
P.diet,0.9953703703703703,1.0,0.9976798143851509,215.0
accuracy,0.9939540507859734,0.9939540507859734,0.9939540507859734,0.9939540507859734
macro avg,0.993884890487415,0.9935455546851915,0.9936822985367194,1654.0
weighted avg,0.9940285237616949,0.9939540507859734,0.993960441435565,1654.0
